UNITNO,MAP_SYMBOL,STATE,NAME,AGE,LITH1,LITH2,LITH3
*161,Cch,PENSILVANIA,Chickies Formation,Cambrian,Quartzite,Quartz schist,Slate; conglomerate
*9,Trg,PENSILVANIA,Gettysburg Formation,Triassic,Silty mudstone,Shale,Sandstone; limestone
*24,Pw,PENSILVANIA,Washington Formation,Permian,Sandstone,Shale,Limestone; coal
*29,Pcg,PENSILVANIA,Glenshaw Formation,Pennsylvanian,Shale,Sandstone,Limestone; coal
*143,Ce,PENSILVANIA,Elbrook Formation,Cambrian,Calcareous shale,Silty limestone,Limestone; dolomite
*123,Oo,PENSILVANIA,Ontelaunee Formation,Ordovician,Dolomite,Limestone,Chert
*25,PPw,PENSILVANIA,Waynesburg Formation,Permian and Pennsylvanian,Sandstone,Shale,Limestone; coal
*25,PPw,PENSILVANIA,Waynesburg Formation,Permian and Pennsylvanian,Sandstone,Shale,Limestone; coal
*25,PPw,PENSILVANIA,Waynesburg Formation,Permian and Pennsylvanian,Sandstone,Shale,Limestone; coal
*23,Pg,PENSILVANIA,Greene Formation,Permian,Sandstone,Shale,Limestone; coal
*25,PPw,PENSILVANIA,Waynesburg Formation,Permian and Pennsylvanian,Sandstone,Shale,Limestone; coal
*185,gqm,PENSILVANIA,Graphitic felsic gneiss,Precambrian,Graphitic felsic gneiss,Mafic gneiss,
*23,Pg,PENSILVANIA,Greene Formation,Permian,Sandstone,Shale,Limestone; coal
*33,Pp,PENSILVANIA,Pottsville Formation,Pennsylvanian,Sandstone,Conglomerate,Shale; siltstone; claystone; limestone; coal
*3,Tpb,PENSILVANIA,"Pensauken and Bridgeton Formations, undifferentiated",Tertiary,Feldspathic quartz sand,Gravel,Clay; silt
*31,Pa,PENSILVANIA,Allegheny Formation,Pennsylvanian,Sandstone,Shale,Limestone; clay; coal
*124,Orr,PENSILVANIA,Rockdale Run Formation,Ordovician,Limestone,Dolomite,Chert
*126,Oe,PENSILVANIA,Epler Formation,Ordovician,Limestone,Dolomite,
*122,Ops,PENSILVANIA,Pinesburg Station Formation,Ordovician,Dolomite,Limestone,
*187,gga,PENSILVANIA,Banded mafic gneiss,Precambrian,Mafic gneiss,Felsic gneiss,
*23,Pg,PENSILVANIA,Greene Formation,Permian,Sandstone,Shale,Limestone; coal
*23,Pg,PENSILVANIA,Greene Formation,Permian,Sandstone,Shale,Limestone; coal
*23,Pg,PENSILVANIA,Greene Formation,Permian,Sandstone,Shale,Limestone; coal
*9,Trg,PENSILVANIA,Gettysburg Formation,Triassic,Silty mudstone,Shale,Sandstone; limestone
*23,Pg,PENSILVANIA,Greene Formation,Permian,Sandstone,Shale,Limestone; coal
*24,Pw,PENSILVANIA,Washington Formation,Permian,Sandstone,Shale,Limestone; coal
*17,Trgc,PENSILVANIA,Gettysburg conglomerate,Triassic,Quartz conglomerate,Sandstone,Siltstone; mudstone
*64,Df,PENSILVANIA,Foreknobs Formation,Devonian,Sandstone,Siltstone,Shale; conglomerate
*8,Jd,PENSILVANIA,Diabase,Jurassic,Diabase,,
*27,Pc,PENSILVANIA,Conemaugh Group,Pennsylvanian,Shale,Siltstone,Sandstone; limestone; coal
*25,PPw,PENSILVANIA,Waynesburg Formation,Permian and Pennsylvanian,Sandstone,Shale,Limestone; coal
*26,Pm,PENSILVANIA,Monongahela Group,Pennsylvanian,Limestone,Shale,Sandstone; coal
*187,gga,PENSILVANIA,Banded mafic gneiss,Precambrian,Mafic gneiss,Felsic gneiss,
*161,Cch,PENSILVANIA,Chickies Formation,Cambrian,Quartzite,Quartz schist,Slate; conglomerate
*11,Trfl,PENSILVANIA,Limestone fanglomerate,Triassic,Limestone conglomerate,,
*29,Pcg,PENSILVANIA,Glenshaw Formation,Pennsylvanian,Shale,Sandstone,Limestone; coal
*156,Cah,PENSILVANIA,"Antietam and Harpers Formations, undivided",Cambrian,Quartzite,Phyllite,Schist
*131,Os,PENSILVANIA,Stonehenge Formation,Ordovician,Limestone,"Conglomeratic, siliceous limestone",
*18,Trhc,PENSILVANIA,Hammer Creek conglomerate,Triassic,Quartz conglomerate,Sandstone,
*25,PPw,PENSILVANIA,Waynesburg Formation,Permian and Pennsylvanian,Sandstone,Shale,Limestone; coal
*23,Pg,PENSILVANIA,Greene Formation,Permian,Sandstone,Shale,Limestone; coal
*24,Pw,PENSILVANIA,Washington Formation,Permian,Sandstone,Shale,Limestone; coal
*135,Csg,PENSILVANIA,Shadygrove Formation,Cambrian,Limestone,Chert,
*20,Trs,PENSILVANIA,Stockton Formation,Triassic,Arkosic sandstone,Siltstone,Sandstone; mudstone
*187,gga,PENSILVANIA,Banded mafic gneiss,Precambrian,Mafic gneiss,Felsic gneiss,
*188,gg,PENSILVANIA,Graphitic felsic gneiss,Precambrian,Graphitic gneiss,Felsic gneiss,
*23,Pg,PENSILVANIA,Greene Formation,Permian,Sandstone,Shale,Limestone; coal
*187,gga,PENSILVANIA,Banded mafic gneiss,Precambrian,Mafic gneiss,Felsic gneiss,
*193,mgh,PENSILVANIA,Mafic gneiss,Precambrian,Mafic gneiss,Amphibolite,
*16,Trl,PENSILVANIA,Lockatong Formation,Triassic,Argillite,Black shale,Limestone; calcareous shale
*12,Trfq,PENSILVANIA,Quartz fanglomerate,Triassic,Quartz conglomerate,,
*113,Ohm,PENSILVANIA,"Hershey and Myerstown Formations, undivided",Ordovician,Argillaceous limestone,Limestone,
*25,PPw,PENSILVANIA,Waynesburg Formation,Permian and Pennsylvanian,Sandstone,Shale,Limestone; coal
*185,gqm,PENSILVANIA,Graphitic felsic gneiss,Precambrian,Graphitic felsic gneiss,Mafic gneiss,
*23,Pg,PENSILVANIA,Greene Formation,Permian,Sandstone,Shale,Limestone; coal
*25,PPw,PENSILVANIA,Waynesburg Formation,Permian and Pennsylvanian,Sandstone,Shale,Limestone; coal
*139,Cz,PENSILVANIA,Zullinger Formation,Cambrian,Limestone,Dolomite,Quartz sandstone
*124,Orr,PENSILVANIA,Rockdale Run Formation,Ordovician,Limestone,Dolomite,Chert
*17,Trgc,PENSILVANIA,Gettysburg conglomerate,Triassic,Quartz conglomerate,Sandstone,Siltstone; mudstone
*23,Pg,PENSILVANIA,Greene Formation,Permian,Sandstone,Shale,Limestone; coal
*193,mgh,PENSILVANIA,Mafic gneiss,Precambrian,Mafic gneiss,Amphibolite,
*31,Pa,PENSILVANIA,Allegheny Formation,Pennsylvanian,Sandstone,Shale,Limestone; clay; coal
*66,Ds,PENSILVANIA,Scherr Formation,Devonian,Siltstone,Sandstone,Shale; mudstone
*3,Tpb,PENSILVANIA,"Pensauken and Bridgeton Formations, undifferentiated",Tertiary,Feldspathic quartz sand,Gravel,Clay; silt
*24,Pw,PENSILVANIA,Washington Formation,Permian,Sandstone,Shale,Limestone; coal
*117,Osp,PENSILVANIA,St. Paul Group,Ordovician,Limestone,Chert,Dolomite
*9,Trg,PENSILVANIA,Gettysburg Formation,Triassic,Silty mudstone,Shale,Sandstone; limestone
*29,Pcg,PENSILVANIA,Glenshaw Formation,Pennsylvanian,Shale,Sandstone,Limestone; coal
*185,gqm,PENSILVANIA,Graphitic felsic gneiss,Precambrian,Graphitic felsic gneiss,Mafic gneiss,
*126,Oe,PENSILVANIA,Epler Formation,Ordovician,Limestone,Dolomite,
*24,Pw,PENSILVANIA,Washington Formation,Permian,Sandstone,Shale,Limestone; coal
*25,PPw,PENSILVANIA,Waynesburg Formation,Permian and Pennsylvanian,Sandstone,Shale,Limestone; coal
*155,Cv,PENSILVANIA,Vintage Formation,Cambrian,Argillaceous dolomite,Limestone,
*23,Pg,PENSILVANIA,Greene Formation,Permian,Sandstone,Shale,Limestone; coal
*156,Cah,PENSILVANIA,"Antietam and Harpers Formations, undivided",Cambrian,Quartzite,Phyllite,Schist
*126,Oe,PENSILVANIA,Epler Formation,Ordovician,Limestone,Dolomite,
*131,Os,PENSILVANIA,Stonehenge Formation,Ordovician,Limestone,"Conglomeratic, siliceous limestone",
*8,Jd,PENSILVANIA,Diabase,Jurassic,Diabase,,
*25,PPw,PENSILVANIA,Waynesburg Formation,Permian and Pennsylvanian,Sandstone,Shale,Limestone; coal
*25,PPw,PENSILVANIA,Waynesburg Formation,Permian and Pennsylvanian,Sandstone,Shale,Limestone; coal
*25,PPw,PENSILVANIA,Waynesburg Formation,Permian and Pennsylvanian,Sandstone,Shale,Limestone; coal
*13,Trh,PENSILVANIA,Hammer Creek Formation,Triassic,Sandstone,Siltstone,Mudstone
*185,gqm,PENSILVANIA,Graphitic felsic gneiss,Precambrian,Graphitic felsic gneiss,Mafic gneiss,
*20,Trs,PENSILVANIA,Stockton Formation,Triassic,Arkosic sandstone,Siltstone,Sandstone; mudstone
*193,mgh,PENSILVANIA,Mafic gneiss,Precambrian,Mafic gneiss,Amphibolite,
*25,PPw,PENSILVANIA,Waynesburg Formation,Permian and Pennsylvanian,Sandstone,Shale,Limestone; coal
*17,Trgc,PENSILVANIA,Gettysburg conglomerate,Triassic,Quartz conglomerate,Sandstone,Siltstone; mudstone
*18,Trhc,PENSILVANIA,Hammer Creek conglomerate,Triassic,Quartz conglomerate,Sandstone,
*25,PPw,PENSILVANIA,Waynesburg Formation,Permian and Pennsylvanian,Sandstone,Shale,Limestone; coal
*23,Pg,PENSILVANIA,Greene Formation,Permian,Sandstone,Shale,Limestone; coal
*28,Pcc,PENSILVANIA,Casselman Formation,Pennsylvanian,Shale,Siltstone,Sandstone; limestone; coal
*143,Ce,PENSILVANIA,Elbrook Formation,Cambrian,Calcareous shale,Silty limestone,Limestone; dolomite
*29,Pcg,PENSILVANIA,Glenshaw Formation,Pennsylvanian,Shale,Sandstone,Limestone; coal
*13,Trh,PENSILVANIA,Hammer Creek Formation,Triassic,Sandstone,Siltstone,Mudstone
*36,Mb,PENSILVANIA,Burgoon Sandstone,Mississippian,Sandstone,Conglomerate,Shale; coal
*33,Pp,PENSILVANIA,Pottsville Formation,Pennsylvanian,Sandstone,Conglomerate,Shale; siltstone; claystone; limestone; coal
*156,Cah,PENSILVANIA,"Antietam and Harpers Formations, undivided",Cambrian,Quartzite,Phyllite,Schist
*28,Pcc,PENSILVANIA,Casselman Formation,Pennsylvanian,Shale,Siltstone,Sandstone; limestone; coal
*131,Os,PENSILVANIA,Stonehenge Formation,Ordovician,Limestone,"Conglomeratic, siliceous limestone",
*23,Pg,PENSILVANIA,Greene Formation,Permian,Sandstone,Shale,Limestone; coal
*193,mgh,PENSILVANIA,Mafic gneiss,Precambrian,Mafic gneiss,Amphibolite,
*24,Pw,PENSILVANIA,Washington Formation,Permian,Sandstone,Shale,Limestone; coal
*29,Pcg,PENSILVANIA,Glenshaw Formation,Pennsylvanian,Shale,Sandstone,Limestone; coal
*8,Jd,PENSILVANIA,Diabase,Jurassic,Diabase,,
*3,Tpb,PENSILVANIA,"Pensauken and Bridgeton Formations, undifferentiated",Tertiary,Feldspathic quartz sand,Gravel,Clay; silt
*193,mgh,PENSILVANIA,Mafic gneiss,Precambrian,Mafic gneiss,Amphibolite,
*19,Trn,PENSILVANIA,New Oxford Formation,Triassic,Arkosic sandstone,Shale,Mudstone; sandstone
*23,Pg,PENSILVANIA,Greene Formation,Permian,Sandstone,Shale,Limestone; coal
*131,Os,PENSILVANIA,Stonehenge Formation,Ordovician,Limestone,"Conglomeratic, siliceous limestone",
*131,Os,PENSILVANIA,Stonehenge Formation,Ordovician,Limestone,"Conglomeratic, siliceous limestone",
*155,Cv,PENSILVANIA,Vintage Formation,Cambrian,Argillaceous dolomite,Limestone,
*136,Cr,PENSILVANIA,Richland Formation,Cambrian,Dolomite,Limestone,Chert
*122,Ops,PENSILVANIA,Pinesburg Station Formation,Ordovician,Dolomite,Limestone,
*8,Jd,PENSILVANIA,Diabase,Jurassic,Diabase,,
*23,Pg,PENSILVANIA,Greene Formation,Permian,Sandstone,Shale,Limestone; coal
*117,Osp,PENSILVANIA,St. Paul Group,Ordovician,Limestone,Chert,Dolomite
*25,PPw,PENSILVANIA,Waynesburg Formation,Permian and Pennsylvanian,Sandstone,Shale,Limestone; coal
*12,Trfq,PENSILVANIA,Quartz fanglomerate,Triassic,Quartz conglomerate,,
*8,Jd,PENSILVANIA,Diabase,Jurassic,Diabase,,
*21,Trnc,PENSILVANIA,New Oxford conglomerate,Triassic,Quartz conglomerate,,
*187,gga,PENSILVANIA,Banded mafic gneiss,Precambrian,Mafic gneiss,Felsic gneiss,
*108,Oco,PENSILVANIA,Cocalico Formation,Ordovician,Shale,Siltstone,Argillaceous sandstone
*29,Pcg,PENSILVANIA,Glenshaw Formation,Pennsylvanian,Shale,Sandstone,Limestone; coal
*24,Pw,PENSILVANIA,Washington Formation,Permian,Sandstone,Shale,Limestone; coal
*122,Ops,PENSILVANIA,Pinesburg Station Formation,Ordovician,Dolomite,Limestone,
*25,PPw,PENSILVANIA,Waynesburg Formation,Permian and Pennsylvanian,Sandstone,Shale,Limestone; coal
*117,Osp,PENSILVANIA,St. Paul Group,Ordovician,Limestone,Chert,Dolomite
*8,Jd,PENSILVANIA,Diabase,Jurassic,Diabase,,
*25,PPw,PENSILVANIA,Waynesburg Formation,Permian and Pennsylvanian,Sandstone,Shale,Limestone; coal
*25,PPw,PENSILVANIA,Waynesburg Formation,Permian and Pennsylvanian,Sandstone,Shale,Limestone; coal
*126,Oe,PENSILVANIA,Epler Formation,Ordovician,Limestone,Dolomite,
*161,Cch,PENSILVANIA,Chickies Formation,Cambrian,Quartzite,Quartz schist,Slate; conglomerate
*185,gqm,PENSILVANIA,Graphitic felsic gneiss,Precambrian,Graphitic felsic gneiss,Mafic gneiss,
*148,Cbs,PENSILVANIA,Buffalo Springs Formation,Cambrian,Limestone,Dolomite,Sandstone
*17,Trgc,PENSILVANIA,Gettysburg conglomerate,Triassic,Quartz conglomerate,Sandstone,Siltstone; mudstone
*188,gg,PENSILVANIA,Graphitic felsic gneiss,Precambrian,Graphitic gneiss,Felsic gneiss,
*24,Pw,PENSILVANIA,Washington Formation,Permian,Sandstone,Shale,Limestone; coal
*78,Doo,PENSILVANIA,"Onondaga and Old Port Formations, undivided",Devonian,Calcareous shale,Sandstone,Limestone; argillaceous limestone; chert; shale; siliceous siltstone; bentonite
*23,Pg,PENSILVANIA,Greene Formation,Permian,Sandstone,Shale,Limestone; coal
*25,PPw,PENSILVANIA,Waynesburg Formation,Permian and Pennsylvanian,Sandstone,Shale,Limestone; coal
*131,Os,PENSILVANIA,Stonehenge Formation,Ordovician,Limestone,"Conglomeratic, siliceous limestone",
*19,Trn,PENSILVANIA,New Oxford Formation,Triassic,Arkosic sandstone,Shale,Mudstone; sandstone
*193,mgh,PENSILVANIA,Mafic gneiss,Precambrian,Mafic gneiss,Amphibolite,
*28,Pcc,PENSILVANIA,Casselman Formation,Pennsylvanian,Shale,Siltstone,Sandstone; limestone; coal
*25,PPw,PENSILVANIA,Waynesburg Formation,Permian and Pennsylvanian,Sandstone,Shale,Limestone; coal
*25,PPw,PENSILVANIA,Waynesburg Formation,Permian and Pennsylvanian,Sandstone,Shale,Limestone; coal
*189,fm,PENSILVANIA,Franklin Marble,Precambrian,Graphitic marble,,
*18,Trhc,PENSILVANIA,Hammer Creek conglomerate,Triassic,Quartz conglomerate,Sandstone,
*23,Pg,PENSILVANIA,Greene Formation,Permian,Sandstone,Shale,Limestone; coal
*25,PPw,PENSILVANIA,Waynesburg Formation,Permian and Pennsylvanian,Sandstone,Shale,Limestone; coal
*166,Xmgh,PENSILVANIA,Mafic gneiss,Probably lower Paleozoic,Mafic gneiss,,
*193,mgh,PENSILVANIA,Mafic gneiss,Precambrian,Mafic gneiss,Amphibolite,
*3,Tpb,PENSILVANIA,"Pensauken and Bridgeton Formations, undifferentiated",Tertiary,Feldspathic quartz sand,Gravel,Clay; silt
*23,Pg,PENSILVANIA,Greene Formation,Permian,Sandstone,Shale,Limestone; coal
*8,Jd,PENSILVANIA,Diabase,Jurassic,Diabase,,
*20,Trs,PENSILVANIA,Stockton Formation,Triassic,Arkosic sandstone,Siltstone,Sandstone; mudstone
*25,PPw,PENSILVANIA,Waynesburg Formation,Permian and Pennsylvanian,Sandstone,Shale,Limestone; coal
*142,Cm,PENSILVANIA,Millbach Formation,Cambrian,Limestone,Dolomite,
*189,fm,PENSILVANIA,Franklin Marble,Precambrian,Graphitic marble,,
*3,Tpb,PENSILVANIA,"Pensauken and Bridgeton Formations, undifferentiated",Tertiary,Feldspathic quartz sand,Gravel,Clay; silt
*135,Csg,PENSILVANIA,Shadygrove Formation,Cambrian,Limestone,Chert,
*108,Oco,PENSILVANIA,Cocalico Formation,Ordovician,Shale,Siltstone,Argillaceous sandstone
*145,Csb,PENSILVANIA,"Snitz Creek and Buffalo Springs Formations, undivided",Cambrian,Limestone,Dolomite,Sandstone
*18,Trhc,PENSILVANIA,Hammer Creek conglomerate,Triassic,Quartz conglomerate,Sandstone,
*9,Trg,PENSILVANIA,Gettysburg Formation,Triassic,Silty mudstone,Shale,Sandstone; limestone
*24,Pw,PENSILVANIA,Washington Formation,Permian,Sandstone,Shale,Limestone; coal
*31,Pa,PENSILVANIA,Allegheny Formation,Pennsylvanian,Sandstone,Shale,Limestone; clay; coal
*100,Om,PENSILVANIA,Martinsburg Formation,Ordovician,Shale,Siltstone,Slate
*11,Trfl,PENSILVANIA,Limestone fanglomerate,Triassic,Limestone conglomerate,,
*8,Jd,PENSILVANIA,Diabase,Jurassic,Diabase,,
*8,Jd,PENSILVANIA,Diabase,Jurassic,Diabase,,
*124,Orr,PENSILVANIA,Rockdale Run Formation,Ordovician,Limestone,Dolomite,Chert
*100,Om,PENSILVANIA,Martinsburg Formation,Ordovician,Shale,Siltstone,Slate
*100,Om,PENSILVANIA,Martinsburg Formation,Ordovician,Shale,Siltstone,Slate
*131,Os,PENSILVANIA,Stonehenge Formation,Ordovician,Limestone,"Conglomeratic, siliceous limestone",
*20,Trs,PENSILVANIA,Stockton Formation,Triassic,Arkosic sandstone,Siltstone,Sandstone; mudstone
*135,Csg,PENSILVANIA,Shadygrove Formation,Cambrian,Limestone,Chert,
*9,Trg,PENSILVANIA,Gettysburg Formation,Triassic,Silty mudstone,Shale,Sandstone; limestone
*20,Trs,PENSILVANIA,Stockton Formation,Triassic,Arkosic sandstone,Siltstone,Sandstone; mudstone
*122,Ops,PENSILVANIA,Pinesburg Station Formation,Ordovician,Dolomite,Limestone,
*20,Trs,PENSILVANIA,Stockton Formation,Triassic,Arkosic sandstone,Siltstone,Sandstone; mudstone
*122,Ops,PENSILVANIA,Pinesburg Station Formation,Ordovician,Dolomite,Limestone,
*117,Osp,PENSILVANIA,St. Paul Group,Ordovician,Limestone,Chert,Dolomite
*25,PPw,PENSILVANIA,Waynesburg Formation,Permian and Pennsylvanian,Sandstone,Shale,Limestone; coal
*17,Trgc,PENSILVANIA,Gettysburg conglomerate,Triassic,Quartz conglomerate,Sandstone,Siltstone; mudstone
*33,Pp,PENSILVANIA,Pottsville Formation,Pennsylvanian,Sandstone,Conglomerate,Shale; siltstone; claystone; limestone; coal
*19,Trn,PENSILVANIA,New Oxford Formation,Triassic,Arkosic sandstone,Shale,Mudstone; sandstone
*29,Pcg,PENSILVANIA,Glenshaw Formation,Pennsylvanian,Shale,Sandstone,Limestone; coal
*185,gqm,PENSILVANIA,Graphitic felsic gneiss,Precambrian,Graphitic felsic gneiss,Mafic gneiss,
*31,Pa,PENSILVANIA,Allegheny Formation,Pennsylvanian,Sandstone,Shale,Limestone; clay; coal
*193,mgh,PENSILVANIA,Mafic gneiss,Precambrian,Mafic gneiss,Amphibolite,
*117,Osp,PENSILVANIA,St. Paul Group,Ordovician,Limestone,Chert,Dolomite
*16,Trl,PENSILVANIA,Lockatong Formation,Triassic,Argillite,Black shale,Limestone; calcareous shale
*193,mgh,PENSILVANIA,Mafic gneiss,Precambrian,Mafic gneiss,Amphibolite,
*103,Oh,PENSILVANIA,Hamburg sequence rocks,Ordovician,Shale,Siltstone,Graywacke
*108,Oco,PENSILVANIA,Cocalico Formation,Ordovician,Shale,Siltstone,Argillaceous sandstone
*108,Oco,PENSILVANIA,Cocalico Formation,Ordovician,Shale,Siltstone,Argillaceous sandstone
*12,Trfq,PENSILVANIA,Quartz fanglomerate,Triassic,Quartz conglomerate,,
*11,Trfl,PENSILVANIA,Limestone fanglomerate,Triassic,Limestone conglomerate,,
*193,mgh,PENSILVANIA,Mafic gneiss,Precambrian,Mafic gneiss,Amphibolite,
*111,Oc,PENSILVANIA,Chambersburg Formation,Ordovician,Argillaceous limestone,Shale,Metabentonite
*189,fm,PENSILVANIA,Franklin Marble,Precambrian,Graphitic marble,,
*123,Oo,PENSILVANIA,Ontelaunee Formation,Ordovician,Dolomite,Limestone,Chert
*11,Trfl,PENSILVANIA,Limestone fanglomerate,Triassic,Limestone conglomerate,,
*148,Cbs,PENSILVANIA,Buffalo Springs Formation,Cambrian,Limestone,Dolomite,Sandstone
*25,PPw,PENSILVANIA,Waynesburg Formation,Permian and Pennsylvanian,Sandstone,Shale,Limestone; coal
*33,Pp,PENSILVANIA,Pottsville Formation,Pennsylvanian,Sandstone,Conglomerate,Shale; siltstone; claystone; limestone; coal
*23,Pg,PENSILVANIA,Greene Formation,Permian,Sandstone,Shale,Limestone; coal
*101,Omgs,PENSILVANIA,Graywacke and shale of Martinsburg Formation,Ordovician,Graywacke,Shale,Sandstone
*23,Pg,PENSILVANIA,Greene Formation,Permian,Sandstone,Shale,Limestone; coal
*24,Pw,PENSILVANIA,Washington Formation,Permian,Sandstone,Shale,Limestone; coal
